Customer_ID,Gender,Age,Marital_Status,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Credit_Score,Application_Date,Loan_Status,Total_Income,Loan_to_Income_Ratio,ApplicantIncome_Normalized,LoanAmount_Normalized,Credit_Score_Normalized,Total_Income_Normalized
CUST11259,Female,49,Single,Graduate,No,37972.25,7575.46,4200.0,360,1,Rural,670,2023-11-21,Approved,45547.71,0.092,0.2348,0.1292,0.5972,0.1445
CUST10769,Female,32,Single,Not Graduate,No,37382.07,0.0,5700.0,120,1,Urban,685,2023-02-26,Rejected,37382.07,0.152,0.2303,0.1897,0.6237,0.1135
CUST11158,Female,47,Married,Graduate,Yes,53017.04,0.0,6800.0,360,1,Rural,662,2023-09-27,Approved,53017.04,0.128,0.3509,0.2341,0.583,0.1729
CUST11843,Female,47,Widowed,Post Graduate,No,78860.89,0.0,14700.0,60,1,Semiurban,611,2024-10-06,Approved,78860.89,0.186,0.5503,0.553,0.4929,0.2712
CUST10284,Female,35,Divorced,Graduate,Yes,93157.25,24188.62,25500.0,300,1,Rural,735,2022-06-05,Approved,117345.87,0.217,0.6607,0.9889,0.712,0.4175
CUST11553,Female,44,Single,Graduate,Yes,29203.2,54321.48,4100.0,360,1,Urban,519,2024-04-30,Rejected,83524.68,0.049,0.1671,0.1251,0.3304,0.2889
CUST11128,Female,32,Married,Graduate,No,115184.6,45397.83,18300.0,300,1,Rural,636,2023-09-10,Rejected,160582.43,0.114,0.8306,0.6983,0.5371,0.5819
CUST11550,Male,56,Single,Graduate,Yes,14807.08,20169.64,4400.0,360,1,Rural,672,2024-04-29,Rejected,34976.72,0.126,0.0561,0.1372,0.6007,0.1043
CUST11960,Female,35,Married,Graduate,Yes,52710.96,17504.35,6300.0,120,1,Urban,655,2024-12-09,Rejected,70215.31,0.09,0.3486,0.2139,0.5707,0.2383
CUST10594,Male,43,Single,Not Graduate,No,24481.47,0.0,5500.0,360,1,Semiurban,733,2022-11-22,Rejected,24481.47,0.225,0.1307,0.1816,0.7085,0.0644
CUST10430,Female,31,Married,Not Graduate,No,31162.86,3456.44,4300.0,360,1,Rural,706,2022-08-24,Rejected,34619.3,0.124,0.1823,0.1332,0.6608,0.1029
CUST11863,Female,55,Single,Graduate,No,30382.57,0.0,9100.0,240,1,Rural,678,2024-10-17,Rejected,30382.57,0.3,0.1762,0.3269,0.6113,0.0868
CUST10455,Male,28,Single,Graduate,Yes,35529.62,19817.35,10900.0,180,1,Semiurban,779,2022-09-07,Approved,55346.97,0.197,0.216,0.3996,0.7898,0.1818
CUST10715,Male,46,Married,Graduate,Yes,40411.15,9537.0,5800.0,360,1,Semiurban,738,2023-01-27,Rejected,49948.15,0.116,0.2536,0.1937,0.7173,0.1612
CUST11385,Male,34,Married,Not Graduate,No,27248.98,6888.86,4200.0,360,0,Semiurban,664,2024-01-29,Approved,34137.84,0.123,0.1521,0.1292,0.5866,0.1011
CUST10681,Male,34,Single,Graduate,No,52461.95,14269.78,6800.0,240,1,Rural,687,2023-01-09,Rejected,66731.73,0.102,0.3466,0.2341,0.6272,0.225
CUST11146,Male,32,Single,Graduate,Yes,35415.1,46989.44,4200.0,360,1,Urban,654,2023-09-20,Approved,82404.54,0.051,0.2151,0.1292,0.5689,0.2846
CUST11954,Male,22,Divorced,Post Graduate,Yes,28555.29,0.0,5400.0,240,1,Semiurban,728,2024-12-06,Rejected,28555.29,0.189,0.1621,0.1776,0.6996,0.0799
CUST10108,Male,42,Married,Not Graduate,No,118231.55,27056.33,25500.0,180,1,Urban,579,2022-03-01,Approved,145287.88,0.176,0.8542,0.9889,0.4364,0.5237
CUST10672,Female,54,Single,Not Graduate,No,92425.58,2299.05,24600.0,360,1,Semiurban,533,2023-01-04,Rejected,94724.63,0.26,0.655,0.9526,0.3551,0.3315
CUST10361,Male,35,Widowed,Post Graduate,No,31265.48,75773.18,6300.0,360,1,Rural,806,2022-07-17,Rejected,107038.66,0.059,0.1831,0.2139,0.8375,0.3783
CUST11826,Female,18,Married,Graduate,Yes,50074.39,21562.88,9900.0,360,1,Urban,606,2024-09-27,Approved,71637.27,0.138,0.3282,0.3592,0.4841,0.2437
CUST11459,Female,26,Single,Not Graduate,No,36090.35,45424.92,4700.0,180,1,Semiurban,553,2024-03-10,Rejected,81515.27,0.058,0.2203,0.1493,0.3905,0.2813
CUST11411,Female,38,Married,Graduate,No,86556.59,0.0,14700.0,360,1,Semiurban,550,2024-02-12,Rejected,86556.59,0.17,0.6097,0.553,0.3852,0.3004
CUST10299,Female,49,Single,Not Graduate,Yes,34448.53,18063.09,4200.0,360,1,Urban,561,2022-06-13,Approved,52511.62,0.08,0.2076,0.1292,0.4046,0.171
CUST10450,Male,20,Divorced,Graduate,No,137131.87,9798.45,18500.0,12,1,Semiurban,653,2022-09-04,Rejected,146930.32,0.126,1.0,0.7064,0.5671,0.53
CUST10374,Male,49,Single,Graduate,No,35619.1,6906.16,8200.0,60,1,Semiurban,632,2022-07-24,Approved,42525.26,0.193,0.2167,0.2906,0.53,0.133
CUST11601,Male,36,Single,Graduate,No,48423.81,13867.21,7000.0,300,1,Rural,617,2024-05-26,Rejected,62291.02,0.112,0.3155,0.2422,0.5035,0.2082
CUST11342,Female,37,Married,Not Graduate,Yes,40942.57,28401.14,5600.0,60,1,Urban,598,2024-01-06,Rejected,69343.71,0.081,0.2577,0.1857,0.47,0.235
CUST11968,Female,45,Married,Not Graduate,No,91074.74,0.0,11500.0,360,1,Urban,649,2024-12-14,Rejected,91074.74,0.126,0.6446,0.4238,0.5601,0.3176
CUST11414,Male,39,Married,Graduate,No,33518.03,15942.03,6800.0,360,1,Urban,735,2024-02-14,Approved,49460.06,0.137,0.2004,0.2341,0.712,0.1594
CUST11278,Male,48,Divorced,Graduate,No,50630.86,0.0,10000.0,360,0,Semiurban,835,2023-12-02,Approved,50630.86,0.198,0.3325,0.3633,0.8887,0.1638
CUST10820,Male,67,Divorced,Not Graduate,No,28089.62,0.0,8300.0,60,1,Rural,621,2023-03-26,Rejected,28089.62,0.295,0.1586,0.2947,0.5106,0.0781
CUST10206,Male,28,Married,Graduate,Yes,58497.41,13284.56,19500.0,360,1,Semiurban,591,2022-04-23,Rejected,71781.97,0.272,0.3932,0.7467,0.4576,0.2442
CUST11346,Female,61,Single,Graduate,No,37174.77,0.0,6100.0,360,1,Urban,701,2024-01-08,Rejected,37174.77,0.164,0.2287,0.2059,0.6519,0.1127
CUST11281,Female,50,Single,Graduate,No,43065.27,0.0,6200.0,360,1,Semiurban,675,2023-12-03,Approved,43065.27,0.144,0.2741,0.2099,0.606,0.1351
CUST11125,Female,33,Married,Not Graduate,No,137131.87,81875.18,25775.0,360,1,Urban,663,2023-09-09,Rejected,219007.05,0.118,1.0,1.0,0.5848,0.804
CUST10858,Female,32,Married,Graduate,No,73784.47,17080.21,16800.0,60,1,Urban,665,2023-04-15,Approved,90864.68,0.185,0.5112,0.6377,0.5883,0.3168
CUST10127,Male,25,Widowed,Not Graduate,No,35470.11,0.0,6500.0,300,0,Urban,555,2022-03-11,Rejected,35470.11,0.183,0.2155,0.222,0.394,0.1062
CUST10789,Female,49,Single,Post Graduate,No,37151.5,7715.25,5800.0,360,1,Rural,816,2023-03-09,Rejected,44866.75,0.129,0.2285,0.1937,0.8551,0.1419
CUST10037,Female,41,Single,Graduate,No,54642.21,3831.54,6200.0,360,1,Semiurban,610,2022-01-21,Approved,58473.75,0.106,0.3635,0.2099,0.4912,0.1936
CUST10386,Male,36,Married,Graduate,No,106757.57,4250.69,12200.0,360,1,Urban,610,2022-07-31,Rejected,111008.26,0.11,0.7656,0.4521,0.4912,0.3934
CUST10885,Female,36,Single,Not Graduate,No,18437.73,33893.77,4500.0,360,1,Urban,617,2023-04-30,Rejected,52331.5,0.086,0.0841,0.1413,0.5035,0.1703
CUST11257,Female,46,Single,Graduate,No,53045.44,0.0,6600.0,360,1,Rural,653,2023-11-20,Rejected,53045.44,0.124,0.3511,0.226,0.5671,0.173
CUST10837,Female,29,Married,Not Graduate,No,27256.88,0.0,3100.0,300,1,Semiurban,656,2023-04-04,Rejected,27256.88,0.114,0.1521,0.0848,0.5724,0.075
CUST10800,Male,25,Married,Post Graduate,No,76894.48,20164.83,15500.0,180,0,Rural,631,2023-03-15,Approved,97059.31,0.16,0.5352,0.5853,0.5283,0.3404
CUST10058,Male,38,Single,Graduate,Yes,71814.4,20192.99,23000.0,180,1,Urban,529,2022-02-01,Rejected,92007.39,0.25,0.496,0.888,0.3481,0.3211
CUST11515,Male,38,Married,Graduate,No,29007.22,0.0,8300.0,180,1,Semiurban,746,2024-04-09,Approved,29007.22,0.286,0.1656,0.2947,0.7314,0.0816
CUST10196,Female,46,Divorced,Not Graduate,No,78137.7,7900.77,16000.0,360,1,Semiurban,653,2022-04-18,Approved,86038.47,0.186,0.5448,0.6054,0.5671,0.2985
CUST11438,Female,26,Married,Not Graduate,No,27231.42,0.0,3600.0,360,1,Rural,646,2024-02-27,Approved,27231.42,0.132,0.1519,0.1049,0.5548,0.0749
CUST11479,Female,24,Married,Post Graduate,No,84865.85,30441.55,25775.0,12,1,Rural,414,2024-03-21,Approved,115307.4,0.224,0.5967,1.0,0.1449,0.4097
CUST11338,Male,44,Married,Not Graduate,No,35219.35,5295.23,11300.0,300,1,Urban,643,2024-01-03,Approved,40514.58,0.279,0.2136,0.4157,0.5495,0.1254
CUST10595,Male,20,Divorced,Graduate,No,43857.98,28827.84,7200.0,360,0,Urban,820,2022-11-22,Approved,72685.82,0.099,0.2802,0.2503,0.8622,0.2477
CUST10241,Female,36,Single,Not Graduate,No,56889.82,11450.55,12800.0,36,1,Urban,527,2022-05-13,Approved,68340.37,0.187,0.3808,0.4763,0.3445,0.2312
CUST10915,Female,18,Married,Not Graduate,No,137131.87,0.0,25200.0,60,1,Rural,689,2023-05-17,Rejected,137131.87,0.184,1.0,0.9768,0.6307,0.4927
CUST10034,Female,23,Married,Graduate,No,41929.84,0.0,11800.0,360,1,Semiurban,768,2022-01-19,Approved,41929.84,0.281,0.2654,0.4359,0.7703,0.1307
CUST10185,Female,37,Widowed,Not Graduate,No,53042.54,0.0,14900.0,120,1,Semiurban,748,2022-04-12,Rejected,53042.54,0.281,0.3511,0.561,0.735,0.173
CUST11819,Female,50,Single,Graduate,Yes,137131.87,9938.95,21700.0,360,1,Semiurban,555,2024-09-23,Approved,147070.82,0.148,1.0,0.8355,0.394,0.5305
CUST10862,Female,47,Single,Not Graduate,No,68328.4,0.0,7800.0,36,0,Rural,630,2023-04-18,Approved,68328.4,0.114,0.4691,0.2745,0.5265,0.2311
CUST11056,Female,34,Single,Graduate,No,33367.67,6716.07,7100.0,360,1,Urban,670,2023-08-02,Approved,40083.74,0.177,0.1993,0.2462,0.5972,0.1237
CUST10527,Female,40,Single,Post Graduate,No,26610.57,0.0,3100.0,180,1,Rural,695,2022-10-16,Rejected,26610.57,0.116,0.1471,0.0848,0.6413,0.0725
CUST11969,Female,38,Single,Graduate,No,41127.06,0.0,9700.0,300,1,Urban,632,2024-12-14,Approved,41127.06,0.236,0.2592,0.3512,0.53,0.1277
CUST10262,Male,37,Married,Graduate,No,28496.17,0.0,4200.0,60,1,Urban,655,2022-05-24,Approved,28496.17,0.147,0.1617,0.1292,0.5707,0.0797
CUST10869,Male,38,Married,Post Graduate,No,85134.98,12737.06,15300.0,360,1,Urban,573,2023-04-22,Rejected,97872.04,0.156,0.5988,0.5772,0.4258,0.3434
CUST11895,Male,38,Married,Not Graduate,No,36693.72,22950.48,4400.0,120,1,Semiurban,642,2024-11-04,Approved,59644.2,0.074,0.225,0.1372,0.5477,0.1981
CUST11094,Female,54,Single,Graduate,Yes,19583.87,0.0,5000.0,360,1,Urban,608,2023-08-23,Approved,19583.87,0.255,0.0929,0.1615,0.4876,0.0458
CUST11939,Male,45,Widowed,Not Graduate,No,55011.78,15514.84,6900.0,360,1,Semiurban,678,2024-11-28,Approved,70526.62,0.098,0.3663,0.2381,0.6113,0.2395
CUST10471,Female,61,Widowed,Graduate,No,48551.07,8039.34,12900.0,180,1,Semiurban,642,2022-09-16,Approved,56590.41,0.228,0.3164,0.4803,0.5477,0.1865
CUST11157,Male,56,Single,Not Graduate,No,137131.87,10190.91,16500.0,360,1,Urban,576,2023-09-26,Approved,147322.78,0.112,1.0,0.6256,0.4311,0.5315
CUST10918,Male,38,Widowed,Graduate,No,28320.22,0.0,4200.0,360,1,Urban,616,2023-05-18,Rejected,28320.22,0.148,0.1603,0.1292,0.5018,0.079
CUST10651,Male,27,Widowed,Graduate,No,48423.81,0.0,8300.0,360,1,Semiurban,624,2022-12-23,Rejected,48423.81,0.171,0.3155,0.2947,0.5159,0.1554
CUST10007,Female,35,Single,Graduate,No,20557.15,0.0,4000.0,360,1,Rural,648,2022-01-04,Approved,20557.15,0.195,0.1004,0.1211,0.5583,0.0495
CUST10330,Male,42,Single,Post Graduate,No,18371.47,7012.52,2900.0,360,0,Rural,582,2022-06-30,Rejected,25383.99,0.114,0.0836,0.0767,0.4417,0.0678
CUST11627,Male,39,Married,Graduate,Yes,93873.67,0.0,17100.0,300,1,Semiurban,670,2024-06-10,Rejected,93873.67,0.182,0.6662,0.6498,0.5972,0.3282
CUST11846,Male,30,Single,Not Graduate,Yes,16434.69,22319.03,5200.0,60,1,Urban,856,2024-10-08,Approved,38753.72,0.134,0.0686,0.1695,0.9258,0.1187
CUST10278,Male,55,Married,Graduate,No,43328.72,10865.24,5900.0,360,1,Semiurban,450,2022-06-02,Rejected,54193.96,0.109,0.2762,0.1978,0.2085,0.1774
CUST10020,Male,46,Single,Post Graduate,No,36186.76,17588.1,8900.0,360,1,Urban,625,2022-01-11,Approved,53774.86,0.166,0.221,0.3189,0.5177,0.1758
CUST10936,Female,43,Single,Not Graduate,No,11397.97,26528.55,2500.0,360,1,Urban,748,2023-05-28,Approved,37926.52,0.066,0.0298,0.0605,0.735,0.1155
CUST10997,Male,35,Widowed,Not Graduate,No,94501.14,3336.78,13000.0,180,1,Rural,637,2023-07-01,Approved,97837.92,0.133,0.671,0.4844,0.5389,0.3433
CUST11740,Male,29,Married,Graduate,Yes,75314.01,6899.26,14900.0,60,1,Rural,588,2024-08-11,Approved,82213.27,0.181,0.523,0.561,0.4523,0.2839
CUST11368,Male,47,Married,Graduate,No,17625.13,0.0,2000.0,360,1,Urban,582,2024-01-20,Approved,17625.13,0.113,0.0778,0.0404,0.4417,0.0383
CUST11998,Female,34,Married,Not Graduate,No,36274.01,19572.2,10800.0,180,1,Semiurban,759,2024-12-30,Approved,55846.21,0.193,0.2217,0.3956,0.7544,0.1837
CUST11706,Male,42,Single,Post Graduate,No,33784.06,0.0,5000.0,360,1,Rural,404,2024-07-23,Approved,33784.06,0.148,0.2025,0.1615,0.1272,0.0998
CUST11596,Male,25,Single,Graduate,No,79841.69,18639.62,25300.0,60,0,Urban,592,2024-05-24,Approved,98481.31,0.257,0.5579,0.9808,0.4594,0.3458
CUST10832,Female,37,Married,Not Graduate,No,13917.29,3323.52,1600.0,360,1,Urban,593,2023-04-01,Approved,17240.81,0.093,0.0492,0.0242,0.4611,0.0369
CUST10946,Male,23,Married,Not Graduate,No,31829.33,25066.42,6800.0,180,0,Semiurban,813,2023-06-03,Approved,56895.75,0.12,0.1874,0.2341,0.8498,0.1876
CUST11982,Female,43,Widowed,Post Graduate,No,43524.34,15281.87,9400.0,300,0,Urban,720,2024-12-21,Approved,58806.21,0.16,0.2777,0.3391,0.6855,0.1949
CUST10377,Female,41,Divorced,Not Graduate,No,111688.15,0.0,25775.0,180,1,Semiurban,548,2022-07-26,Approved,111688.15,0.231,0.8037,1.0,0.3816,0.396
CUST10674,Female,38,Single,Post Graduate,No,39178.59,0.0,4500.0,120,1,Urban,815,2023-01-05,Rejected,39178.59,0.115,0.2441,0.1413,0.8534,0.1203
CUST10237,Female,27,Married,Not Graduate,No,63702.72,0.0,17100.0,360,1,Urban,639,2022-05-10,Approved,63702.72,0.268,0.4334,0.6498,0.5424,0.2135
CUST11616,Male,47,Widowed,Graduate,No,46191.16,0.0,12600.0,300,1,Urban,668,2024-06-04,Approved,46191.16,0.273,0.2982,0.4682,0.5936,0.1469
CUST11286,Female,29,Widowed,Not Graduate,No,41588.57,0.0,9600.0,120,1,Semiurban,675,2023-12-06,Approved,41588.57,0.231,0.2627,0.3471,0.606,0.1294
CUST11123,Male,24,Divorced,Not Graduate,Yes,49808.48,22864.58,6900.0,360,1,Urban,670,2023-09-08,Approved,72673.06,0.095,0.3262,0.2381,0.5972,0.2476
CUST10367,Female,51,Married,Not Graduate,No,41713.65,0.0,5100.0,360,1,Semiurban,560,2022-07-21,Rejected,41713.65,0.122,0.2637,0.1655,0.4028,0.1299
